emp_no,first_name,last_name,title,from_date,to_date
46222,Mrinalini,Strooper,Staff,1990-03-05,1991-03-05
64984,Eldridge,Eldridge,Assistant Engineer,1986-06-24,1987-06-24
251166,Hinrich,Hooghiemstra,Staff,1985-10-05,1986-10-05
435370,Conal,Basart,Senior Engineer,1991-05-17,1992-05-16
51118,Fumiko,Mundy,Staff,1998-09-22,1999-09-22
34452,Naftaly,Foong,Technique Leader,1991-05-10,1992-05-09
53088,Mechthild,Lamma,Senior Staff,1986-05-19,1987-05-19
447290,Maria,Miculan,Staff,1993-04-12,1994-04-12
61680,Hauke,Templeman,Senior Staff,1991-10-23,1992-10-22
460691,Munehiko,Gihr,Assistant Engineer,1989-12-06,1990-12-06
276184,Mari,Swick,Manager,1991-04-08,1992-04-07
457146,Jinpo,Heyers,Senior Staff,1999-01-07,2000-01-07
270716,Shunichi,Baer,Staff,1998-02-04,1999-02-04
440450,Tzvetan,Scharstein,Engineer,1994-06-16,1995-06-16
429087,Hugh,Senzako,Engineer,1992-10-15,1993-10-15
227354,Gio,Murtha,Senior Engineer,1986-11-11,1987-11-11
96579,Mohan,Tasistro,Technique Leader,1996-02-10,1997-02-09
227901,Francesca,Azuma,Senior Staff,1996-06-08,1997-06-08
492677,Goetz,McAffer,Assistant Engineer,1988-02-05,1989-02-04
56209,Remzi,Douceur,Technique Leader,1992-12-01,1993-12-01
38017,Ulf,Himler,Staff,1994-01-02,1995-01-02
90084,Renny,Bale,Senior Staff,1989-11-22,1990-11-22
466509,Bezalel,Verhoeff,Assistant Engineer,1988-03-22,1989-03-22
457938,Arch,Picco,Engineer,1993-06-07,1994-06-07
262741,Izaskun,Moffat,Engineer,1987-04-30,1988-04-29
250452,Alexius,Plavsic,Engineer,2000-01-17,2001-01-16
69867,Miyeon,Rothe,Technique Leader,1991-04-09,1992-04-08
447544,Stabislas,Kakkad,Senior Staff,1989-02-19,1990-02-19
53746,Manu,Erva,Staff,1989-03-17,1990-03-17
63441,Hinrich,Scallan,Technique Leader,1999-04-04,2000-04-03
40269,Toshiki,Ghazalie,Assistant Engineer,1991-12-05,1992-12-04
13499,Kazuhiko,Sidou,Senior Engineer,1991-09-01,1992-08-31
87714,Khun,Janetzko,Senior Engineer,1989-09-13,1990-09-13
287482,Shigeaki,Gihr,Technique Leader,1994-03-18,1995-03-18
31629,Toong,Veldwijk,Staff,1986-07-28,1987-07-28
413666,Remco,Duclos,Assistant Engineer,1988-04-18,1989-04-18
205174,Leszek,Spinelli,Senior Staff,1998-12-10,1999-12-10
481148,Gina,Decaestecker,Senior Staff,1986-06-20,1987-06-20
491079,Kwangsub,Keirsey,Senior Engineer,1992-02-04,1993-02-03
75354,Shuky,Jakobus,Technique Leader,1986-06-16,1987-06-16
246364,Alper,Tiemann,Staff,1998-10-29,1999-10-29
492000,Valeska,Cools,Staff,1993-12-16,1994-12-16
408435,Bikash,Vilarrasa,Senior Engineer,1999-03-26,2000-03-25
109552,Menkae,Etalle,Staff,1997-05-21,1998-05-21
481213,Shigehiro,Haldar,Staff,1991-12-14,1992-12-13
233533,Seongbae,Sluis,Technique Leader,1988-09-22,1989-09-22
269728,Naftali,Kragelund,Engineer,1987-05-16,1988-05-15
479695,Masamitsu,Murrill,Technique Leader,1996-06-27,1997-06-27
244714,Poorav,Clouatre,Senior Staff,1996-05-06,1997-05-06
411082,Martine,Cangellaris,Engineer,1992-04-28,1993-04-28
260361,Reinhold,Rahier,Staff,1995-06-06,1996-06-05
243077,Kazunori,Perz,Senior Staff,1999-02-25,2000-02-25
266981,Toshimi,Kragelund,Staff,1988-02-21,1989-02-20
475538,Christophe,Leaver,Senior Engineer,1998-10-31,1999-10-31
241872,Bluma,Fetvedt,Senior Staff,1992-02-03,1993-02-02
